,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender
348,2024-05-19 18:18:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x3036e03bb639fd7ba8ccaf52ecac508e5e3fc0f892f192192aa225c6769dd230,59,2024-05-19 18:18:02.000 UTC,212938314.0,228287203573064,702780,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
349,2024-05-20 04:40:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x38887c1514137dc12e79d459f1d2b5b769cfbba2ca8b4b09751d3ca9c56e43f0,45,2024-05-20 04:40:02.000 UTC,213082034.0,147712328077156,459963,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
350,2024-05-20 10:40:43,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xd27646962ad7cc2eeafd76b962e13da5aa6ef9c6825aad00d41bac4050313439,91,2024-05-20 10:40:43.000 UTC,213167105.0,34201525003412,106275,0xc873fecbd354f5a56e00e710b90ef4201db2448d
351,2024-05-20 16:03:43,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x3c398b4c5e6c5bb2feabb050d79c367dbfda65c4705d1d02b74f13e82b2fef15,54,2024-05-20 16:03:43.000 UTC,213243888.0,3782645330636,11787,0x317346ba5489998bf63b56cf47149497805a6ea9
352,2024-05-20 19:21:55,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xaa5e1d8a58d416aa69dea01ff2b2e7dc5ce20f77e45437682418b75c07708565,115,2024-05-20 19:21:55.000 UTC,213290522.0,79835070969762683,253871531,0x317346ba5489998bf63b56cf47149497805a6ea9
353,2024-05-20 20:00:29,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xae09d67162c22d2026c08a074317d0324c76f160a2f90f0a88da923671df38eb,62,2024-05-20 20:00:29.000 UTC,213299540.0,73454568458093225,253717887,0x317346ba5489998bf63b56cf47149497805a6ea9
354,2024-05-20 20:41:01,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x7be11f84374e65da1140025f62118700f7d12e770ff2877b329a5e033d68320c,41,2024-05-20 20:41:01.000 UTC,213308911.0,207617668557431,735140,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
355,2024-05-21 03:08:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xeea44513df0f399d5037d266ff88c4f27d1b1699390e166ece74488abc2a991b,46,2024-05-21 03:08:02.000 UTC,213398312.0,83595646590841,308337,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
356,2024-05-21 10:51:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xbc8b00799798c7323155584b1628bc757580cdbd42fa45114befaa5c9b1b8175,44,2024-05-21 10:51:02.000 UTC,213507312.0,99434950239526,370904,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
357,2024-05-21 11:22:54,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x24a533b14bfacdd009d0f0e48884a791903e15b917134baae35ead28426e7427,65,2024-05-21 11:22:54.000 UTC,213514581.0,67611449703069862,253584124,0x317346ba5489998bf63b56cf47149497805a6ea9
358,2024-05-21 16:03:43,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x2309c3cf1458d5b5451a4ad73402c2eb9500358480a89f83947b2aa260ed5564,97,2024-05-21 16:03:43.000 UTC,213579610.0,616367049934,2328,0x317346ba5489998bf63b56cf47149497805a6ea9
359,2024-05-22 03:12:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xc82323ed3863fdc2077214beaeb060f86f07ec227eba3f7524b79e8b760b37a5,62,2024-05-22 03:12:02.000 UTC,213736549.0,223650999645404,850803,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
360,2024-05-22 14:39:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xb5b65f25bcd80cf317d21a08e492efdc17d04050eea5bbafbaae455e6951e29e,63,2024-05-22 14:39:02.000 UTC,213898660.0,155842265308249,580942,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
