,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
246,2024-08-04 02:49:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xed02c780111c2557a8feced241b483155d21aa82ee6b4f57238f4326ab00633c,136,2024-08-04 02:49:59.000 UTC,20452305.0,5381983,1842338845979290,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
247,2024-08-04 23:59:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x69f612e9606df2d8e947aa38651c33112241ceefce13ab4bcf51f9dbae604819,463,2024-08-04 23:59:35.000 UTC,20458635.0,7764969847580,2896656178789049880935,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
248,2024-08-05 18:23:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa062cc320b902e80d4a1e31e16e24049cee0c8fe308c5e834f0ead722cbcc3b0,130,2024-08-05 18:23:47.000 UTC,20464134.0,44635366,18375518269237715,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
249,2024-08-05 23:46:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xe788eb0c001077fbca6befff21ef3ed29ae7cac36fdc43c94f2638060edb8ac8,805,2024-08-05 23:46:11.000 UTC,20465737.0,7764969847580,3180775820754839612404,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
250,2024-08-06 05:11:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x0ffc89a9bbaf54d1ea4486eed2b3712dcdcd5902de78518d4c847acd8d12646e,404,2024-08-06 05:11:23.000 UTC,20467354.0,210511679391,84281623848703205756,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
251,2024-08-06 23:46:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xac446a85f65d73a5857dbfc96123c42ef7e26cd497dc0c2b9b7cf1da744556a5,254,2024-08-06 23:46:35.000 UTC,20472903.0,7764969847580,3163722542355549794798,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
252,2024-08-07 14:04:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x19f7c0cd0850a9ac8f739f6447e39ecf0578882dcb80fc3f74706620739db30c,150,2024-08-07 14:04:59.000 UTC,20477176.0,10017218,4094050720543189,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
253,2024-08-08 00:18:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x7c7075c2d383d4595cfd78aaaaf55a9e175a81fbda7d9f37265927e96dd54c30,365,2024-08-08 00:18:11.000 UTC,20480231.0,7764969847580,3305838574086758008505,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
254,2024-08-08 22:27:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x5bb0937945c258394afb6cfb909b2fd0b411ac50141d131b2a33bcefcfeaff74,225,2024-08-08 22:27:35.000 UTC,20486856.0,8389826757,3184196041984614853,0xc70150188142fbfcbb90db05bffc31bccded3da5,0xed0f56c192a8140cc666a01fc0944d17d561a4a0
255,2024-08-08 23:55:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xfe0e64291aadb79e36258d7f726c30bd3435243a2ff6faa96c274b16589f1ad4,238,2024-08-08 23:55:23.000 UTC,20487293.0,7764969847580,2894094213419413525083,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
