,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
55,2024-03-29 06:54:56,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xbfccd1217eadc1915db840a7293f3b750dbaa71c5e07525c678e10ea275c03bd,22,2024-03-29 06:54:56.000 UTC,195354309.0,1297917459435588,4623078,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
56,2024-03-29 07:53:07,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x95383e85b4cfc99ef61c81e4f093a8ab51c7370b837e2ad9bb2295e44e497fe6,18,2024-03-29 07:53:07.000 UTC,195368265.0,565900099893115,2000018,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
57,2024-03-29 12:19:58,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x55d75dbf1458b729e861de25b6c02dc4aac7da476fc31c504a3352f4f8d03d0d,33,2024-03-29 12:19:58.000 UTC,195432236.0,366144728654855,1298249,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
58,2024-03-29 13:20:04,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x37338d0c6a1bc4951e14de8ae0357c19e93e18bd1bd5b376597615efbc4dcf47,28,2024-03-29 13:20:04.000 UTC,195446657.0,3102993893685974,10998321,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
59,2024-03-29 13:33:12,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xe1323e4f21d4652833f3604adfd3295accd5174ad77f4a51d92cb9ee116a1028,7,2024-03-29 13:33:12.000 UTC,195449815.0,282142515212049,999999,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
60,2024-03-29 13:48:45,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xdffd87b9a0e0455be088b460a09f2c27a39f26d8a968bfa295e0c0cdca334a92,6,2024-03-29 13:48:45.000 UTC,195453541.0,8746606022826766,30989594,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
61,2024-03-29 15:03:25,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x37318496e85826aea9f763e2a63c7cee91eba6b472387ab0fb490ce3935f87a8,26,2024-03-29 15:03:25.000 UTC,195471419.0,396826184283322,1409513,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
62,2024-03-29 20:02:04,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xd97135d247291b9ec352c6b76afe8bd38fc5b664db97942aa9d6410586015f77,21,2024-03-29 20:02:04.000 UTC,195542608.0,999308370680931,3493775,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
63,2024-03-29 21:54:06,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x49072dc665ffa796575baa00b7709ccaff7a2c22b66ff0018fd61ef50fccf9c6,19,2024-03-29 21:54:06.000 UTC,195569234.0,860627864854461,2999999,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
64,2024-03-30 05:04:52,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x876cfed847348eed0224a69e3dc541270b75f02c246483c5956ac9790950dac1,6,2024-03-30 05:04:52.000 UTC,195672192.0,284965946141291,1000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
